Id,Name,Team,Position,Height(inches),Weight(lbs)
541,Ryan O'Malley,CHC,Starting Pitcher,73,190
542,Juan Mateo,CHC,Starting Pitcher,74,180
543,Rich Hill,CHC,Starting Pitcher,77,190
544,Angel Guzman,CHC,Starting Pitcher,75,190
545,Wade Miller,CHC,Starting Pitcher,74,220
546,Jason Marquis,CHC,Starting Pitcher,73,210
547,Carlos Zambrano,CHC,Starting Pitcher,77,255
548,Ted Lilly,CHC,Starting Pitcher,73,190
549,Mark Prior,CHC,Starting Pitcher,77,230
550,Neal Cotts,CHC,Relief Pitcher,74,200
551,Will Ohman,CHC,Relief Pitcher,74,205
552,Scott Eyre,CHC,Relief Pitcher,73,210
553,Kerry Wood,CHC,Relief Pitcher,77,225
554,Ryan Dempster,CHC,Relief Pitcher,74,215
555,Bob Howry,CHC,Relief Pitcher,77,220
556,Mike Wuertz,CHC,Relief Pitcher,75,205
557,Roberto Novoa,CHC,Relief Pitcher,77,200
558,Chris Snyder,ARZ,Catcher,75,220
559,Miguel Montero,ARZ,Catcher,71,197
560,Conor Jackson,ARZ,First Baseman,74,225
561,Robby Hammock,ARZ,First Baseman,70,187
562,Tony Clark,ARZ,First Baseman,79,245
563,Orlando Hudson,ARZ,Second Baseman,72,185
564,Stephen Drew,ARZ,Shortstop,72,185
565,Alberto Callaspo,ARZ,Shortstop,70,175
566,Chad Tracy,ARZ,Third Baseman,74,200
567,Chris Young,ARZ,Outfielder,74,180
568,Scott Hairston,ARZ,Outfielder,72,188
569,Carlos Quentin,ARZ,Outfielder,73,225
570,Jeff DaVanon,ARZ,Outfielder,72,200
571,Eric Byrnes,ARZ,Outfielder,74,210
572,Livan Hernandez,ARZ,Starting Pitcher,74,245
573,Doug Davis,ARZ,Starting Pitcher,76,213
574,Randy Johnson,ARZ,Starting Pitcher,82,231
575,Juan Cruz,ARZ,Starting Pitcher,74,165
576,Brandon Webb,ARZ,Starting Pitcher,74,228
577,Enrique Gonzalez,ARZ,Starting Pitcher,70,210
578,Dana Eveland,ARZ,Starting Pitcher,73,250
579,Brandon Medders,ARZ,Relief Pitcher,73,191
580,Tony Pe?a,ARZ,Relief Pitcher,74,190
581,Doug Slaten,ARZ,Relief Pitcher,77,200
582,Edgar Gonzalez,ARZ,Relief Pitcher,72,215
583,Jose Valverde,ARZ,Relief Pitcher,76,254
584,Jorge Julio,ARZ,Relief Pitcher,73,232
585,Brandon Lyon,ARZ,Relief Pitcher,73,180
586,Miguel Olivo,FLA,Catcher,72,215
587,Matt Treanor,FLA,Catcher,74,220
588,Mike Jacobs,FLA,First Baseman,74,180
589,Dan Uggla,FLA,Second Baseman,71,200
590,Robert Andino,FLA,Shortstop,72,170
591,Hanley Ramirez,FLA,Shortstop,75,195
592,Miguel Cabrera,FLA,Third Baseman,74,210
593,Aaron Boone,FLA,Third Baseman,74,200
594,Joe Borchard,FLA,Outfielder,77,220
595,Alfredo Amezaga,FLA,Outfielder,70,165
596,Cody Ross,FLA,Outfielder,71,180
597,Josh Willingham,FLA,Outfielder,73,200
598,Jeremy Hermida,FLA,Outfielder,76,200
599,Eric Reed,FLA,Outfielder,71,170
600,Reggi Abercrombie,FLA,Outfielder,75,224
601,Ricky Nolasco,FLA,Starting Pitcher,74,220
602,Anibal Sanchez,FLA,Starting Pitcher,72,180
603,Scott Olsen,FLA,Starting Pitcher,76,198
604,Josh Johnson,FLA,Starting Pitcher,79,240
605,Dontrelle Willis,FLA,Starting Pitcher,76,239
606,Logan Kensing,FLA,Relief Pitcher,73,185
607,Sergio Mitre,FLA,Relief Pitcher,76,210
608,Kevin Gregg,FLA,Relief Pitcher,78,220
609,Travis Bowyer,FLA,Relief Pitcher,75,200
610,Renyel Pinto,FLA,Relief Pitcher,76,195
611,Randy Messenger,FLA,Relief Pitcher,72,220
612,Yusmeiro Petit,FLA,Relief Pitcher,72,230
613,Carlos Martinez,FLA,Relief Pitcher,73,170
614,Taylor Tankersley,FLA,Relief Pitcher,73,220
615,Henry Owens,FLA,Relief Pitcher,75,230
616,Jose Garcia,FLA,Relief Pitcher,71,165
617,Matt Lindstrom,FLA,Relief Pitcher,76,205
618,Javier Valentin,CIN,Catcher,70,192
619,Chad Moeller,CIN,Catcher,75,210
620,David Ross,CIN,Catcher,74,205
621,Joey Votto,CIN,First Baseman,75,200
622,Scott Hatteberg,CIN,First Baseman,73,210
623,Brandon Phillips,CIN,Second Baseman,71,185
624,Juan Castro,CIN,Shortstop,71,195
625,Alex Gonzalez,CIN,Shortstop,72,202
626,Mark Bellhorn,CIN,Third Baseman,73,205
627,Edwin Encarnacion,CIN,Third Baseman,73,195
628,Jeff Keppinger,CIN,Third Baseman,72,180
629,Norris Hopper,CIN,Outfielder,69,200
630,Chris Denorfia,CIN,Outfielder,73,185
631,Adam Dunn,CIN,Outfielder,78,240
632,Bubba Crosby,CIN,Outfielder,71,185
633,Jeff Conine,CIN,Outfielder,73,220
634,Ken Griffey Jr.,CIN,Outfielder,75,205
635,Josh Hamilton,CIN,Outfielder,76,205
636,Ryan Freel,CIN,Outfielder,70,180
637,Kyle Lohse,CIN,Starting Pitcher,74,201
638,Bronson Arroyo,CIN,Starting Pitcher,77,190
639,Eric Milton,CIN,Starting Pitcher,75,208
640,Aaron Harang,CIN,Starting Pitcher,79,240
641,Kirk Saarloos,CIN,Starting Pitcher,72,190
642,Elizardo Ramirez,CIN,Starting Pitcher,72,180
643,Todd Coffey,CIN,Relief Pitcher,77,230
644,Brian Shackelford,CIN,Relief Pitcher,73,195
645,Bill Bray,CIN,Relief Pitcher,75,215
646,Bobby Livingston,CIN,Relief Pitcher,75,190
647,Matt Belisle,CIN,Relief Pitcher,75,195
648,Gary Majewski,CIN,Relief Pitcher,73,215
649,Mike Stanton,CIN,Relief Pitcher,73,215
650,Brad Salmon,CIN,Relief Pitcher,76,220
651,Jared Burton,CIN,Relief Pitcher,77,220
652,David Weathers,CIN,Relief Pitcher,75,230
653,Rheal Cormier,CIN,Relief Pitcher,70,195
654,Yorvit Torrealba,COL,Catcher,71,190
655,Chris Iannetta,COL,Catcher,71,195
656,Alvin Colina,COL,Catcher,75,209
657,Todd Helton,COL,First Baseman,74,204
658,Jamey Carroll,COL,Second Baseman,69,170
659,Kaz Matsui,COL,Second Baseman,70,185
660,Troy Tulowitzki,COL,Shortstop,75,205
661,Clint Barmes,COL,Shortstop,72,175
662,Garrett Atkins,COL,Third Baseman,75,210
663,Ryan Spilborghs,COL,Outfielder,73,190
664,Cory Sullivan,COL,Outfielder,72,180
665,Jeff Salazar,COL,Outfielder,72,180
666,Willy Taveras,COL,Outfielder,72,160
667,Matt Holliday,COL,Outfielder,76,235
668,Brad Hawpe,COL,Outfielder,75,200
669,Jeff Baker,COL,Outfielder,74,210
670,Javy Lopez,COL,Designated Hitter,75,224
671,Byung-Hyun Kim,COL,Starting Pitcher,69,180
672,Rodrigo Lopez,COL,Starting Pitcher,73,190
673,Brian Lawrence,COL,Starting Pitcher,72,197
674,Josh Fogg,COL,Starting Pitcher,72,203
675,Aaron Cook,COL,Starting Pitcher,75,205
676,Denny Bautista,COL,Starting Pitcher,77,170
677,Ubaldo Jimenez,COL,Starting Pitcher,76,200
678,Jason Hirsh,COL,Starting Pitcher,80,250
679,Jeff Francis,COL,Starting Pitcher,77,200
680,Taylor Buchholz,COL,Starting Pitcher,76,220
681,Ryan Speier,COL,Relief Pitcher,79,200
682,Ramon Ramirez,COL,Relief Pitcher,71,190
683,Manny Corpas,COL,Relief Pitcher,75,170
684,Juan Morillo,COL,Relief Pitcher,73,190
685,Brian Fuentes,COL,Relief Pitcher,76,220
686,LaTroy Hawkins,COL,Relief Pitcher,77,215
687,Tom Martin,COL,Relief Pitcher,73,206
688,Jeremy Affeldt,COL,Relief Pitcher,76,215
689,Paul Lo Duca,NYM,Catcher,70,185
690,Ramon Castro,NYM,Catcher,75,235
691,Julio Franco,NYM,First Baseman,73,188
692,Carlos Delgado,NYM,First Baseman,75,230
693,Jose Valentin,NYM,Second Baseman,70,195
694,Anderson Hernandez,NYM,Second Baseman,69,168
695,Damion Easley,NYM,Shortstop,71,190
696,Jose Reyes,NYM,Shortstop,72,160
697,David Wright,NYM,Third Baseman,72,200
698,Ben Johnson,NYM,Outfielder,73,200
699,Endy Chavez,NYM,Outfielder,70,189
700,David Newhan,NYM,Outfielder,70,180
701,Carlos Beltran,NYM,Outfielder,73,190
702,Shawn Green,NYM,Outfielder,76,200
703,Moises Alou,NYM,Outfielder,75,220
704,Lastings Milledge,NYM,Outfielder,72,187
705,Alay Soler,NYM,Starting Pitcher,73,240
706,Mike Pelfrey,NYM,Starting Pitcher,79,190
707,Pedro Martinez,NYM,Starting Pitcher,71,180
708,Tom Glavine,NYM,Starting Pitcher,72,185
709,Chan Ho Park,NYM,Starting Pitcher,74,210
710,Orlando Hernandez,NYM,Starting Pitcher,74,220
711,Dave Williams,NYM,Starting Pitcher,74,219
712,Oliver Perez,NYM,Starting Pitcher,72,190
713,John Maine,NYM,Starting Pitcher,76,193
714,Marcos Carvajal,NYM,Relief Pitcher,76,175
715,Ambiorix Burgos,NYM,Relief Pitcher,72,180
716,Jason Vargas,NYM,Relief Pitcher,72,215
717,Jon Adkins,NYM,Relief Pitcher,71,210
718,Juan Padilla,NYM,Relief Pitcher,72,200
719,Duaner Sanchez,NYM,Relief Pitcher,72,190
720,Pedro Feliciano,NYM,Relief Pitcher,70,185
721,Aaron Heilman,NYM,Relief Pitcher,77,220
722,Jorge Sosa,NYM,Relief Pitcher,74,170
723,Scott Schoeneweis,NYM,Relief Pitcher,72,195
724,Guillermo Mota,NYM,Relief Pitcher,76,205
725,Billy Wagner,NYM,Relief Pitcher,71,195
726,Philip Humber,NYM,Relief Pitcher,76,210
727,Brad Ausmus,HOU,Catcher,71,190
728,Humberto Quintero,HOU,Catcher,73,190
729,Hector Gimenez,HOU,Catcher,70,180
730,Lance Berkman,HOU,First Baseman,73,220
731,Mike Lamb,HOU,First Baseman,73,190
732,Mark Loretta,HOU,Second Baseman,72,186
733,Craig Biggio,HOU,Second Baseman,71,185
734,Brooks Conrad,HOU,Second Baseman,71,190
735,Chris Burke,HOU,Second Baseman,71,180
736,Eric Bruntlett,HOU,Second Baseman,72,190
737,Adam Everett,HOU,Shortstop,72,170
738,Morgan Ensberg,HOU,Third Baseman,74,210
739,Carlos Lee,HOU,Outfielder,74,240
740,Jason Lane,HOU,Outfielder,74,220
741,Orlando Palmeiro,HOU,Outfielder,71,180
742,Luke Scott,HOU,Outfielder,72,210
743,Charlton Jimerson,HOU,Outfielder,75,210
744,Fernando Nieve,HOU,Starting Pitcher,72,195
745,Wandy Rodriguez,HOU,Starting Pitcher,71,160
746,Brandon Backe,HOU,Starting Pitcher,72,180
747,Matt Albers,HOU,Starting Pitcher,72,205
748,Woody Williams,HOU,Starting Pitcher,72,200
749,Roy Oswalt,HOU,Starting Pitcher,72,185
750,Jason Jennings,HOU,Starting Pitcher,74,245
751,Miguel Asencio,HOU,Relief Pitcher,74,190
752,Brad Lidge,HOU,Relief Pitcher,77,210
753,Trever Miller,HOU,Relief Pitcher,75,200
754,David Borkowski,HOU,Relief Pitcher,73,200
755,Dan Wheeler,HOU,Relief Pitcher,75,222
756,Paul Estrada,HOU,Relief Pitcher,73,215
757,Lincoln Holdzkom,HOU,Relief Pitcher,76,240
758,Chris Sampson,HOU,Relief Pitcher,72,170
759,Chad Qualls,HOU,Relief Pitcher,77,220
760,Ezequiel Astacio,HOU,Relief Pitcher,75,156
761,Mike Lieberthal,LA,Catcher,72,190
762,Russell Martin,LA,Catcher,71,202
763,Olmedo Saenz,LA,First Baseman,71,221
764,James Loney,LA,First Baseman,75,200
765,Nomar Garciaparra,LA,First Baseman,72,190
766,Jeff Kent,LA,Second Baseman,73,210
767,Ramon Martinez,LA,Second Baseman,73,190
768,Marlon Anderson,LA,Second Baseman,71,200
769,Rafael Furcal,LA,Shortstop,70,165
770,Wilson Betemit,LA,Third Baseman,75,190
771,Andy LaRoche,LA,Third Baseman,71,185
772,Matt Kemp,LA,Outfielder,76,230
773,Andre Ethier,LA,Outfielder,73,208
774,Delwyn Young,LA,Outfielder,68,209
775,Jason Repko,LA,Outfielder,71,175
776,Juan Pierre,LA,Outfielder,72,180
777,Luis Gonzalez,LA,Outfielder,74,200
778,Jason Schmidt,LA,Starting Pitcher,77,205
779,Randy Wolf,LA,Starting Pitcher,72,200
780,Brad Penny,LA,Starting Pitcher,76,250
781,Derek Lowe,LA,Starting Pitcher,78,210
782,Mark Hendrickson,LA,Starting Pitcher,81,230
783,Chad Billingsley,LA,Starting Pitcher,72,244
784,Takashi Saito,LA,Relief Pitcher,73,202
785,Jonathan Broxton,LA,Relief Pitcher,76,240
786,Hong-Chih Kuo,LA,Relief Pitcher,72,200
787,Eric Stults,LA,Relief Pitcher,72,215
788,Chin-Hui Tsao,LA,Relief Pitcher,74,177
789,Tim Hamulack,LA,Relief Pitcher,76,210
790,Yhency Brazoban,LA,Relief Pitcher,73,170
791,Brett Tomko,LA,Relief Pitcher,76,215
792,Joe Beimel,LA,Relief Pitcher,75,217
793,Elmer Dessens,LA,Relief Pitcher,70,198
794,Ryan Budde,PHI,Catcher,71,200
795,Rod Barajas,PHI,Catcher,74,220
796,Carlos Ruiz,PHI,Catcher,72,170
797,Chris Coste,PHI,Catcher,73,200
798,Ryan Howard,PHI,First Baseman,76,230
799,Wes Helms,PHI,First Baseman,76,231
800,Chase Utley,PHI,Second Baseman,73,183
801,Danny Sandoval,PHI,Second Baseman,71,192
802,Jimmy Rollins,PHI,Shortstop,68,167
803,Abraham Nu?ez,PHI,Third Baseman,71,190
804,Michael Bourn,PHI,Outfielder,71,180
805,Chris Roberson,PHI,Outfielder,74,180
806,Jayson Werth,PHI,Outfielder,77,215
807,Shane Victorino,PHI,Outfielder,69,160
808,Aaron Rowand,PHI,Outfielder,72,205
809,Pat Burrell,PHI,Outfielder,76,223
810,Greg Dobbs,PHI,Designated Hitter,73,205
811,Cole Hamels,PHI,Starting Pitcher,75,175
812,Alfredo Simon,PHI,Starting Pitcher,76,170
813,Scott Mathieson,PHI,Starting Pitcher,75,190
814,Freddy Garcia,PHI,Starting Pitcher,76,240
815,Jamie Moyer,PHI,Starting Pitcher,72,175
816,Jon Lieber,PHI,Starting Pitcher,74,230
817,Brett Myers,PHI,Starting Pitcher,76,223
818,Adam Eaton,PHI,Starting Pitcher,74,196
819,Geoff Geary,PHI,Relief Pitcher,72,167
820,Clay Condrey,PHI,Relief Pitcher,75,195
821,Ryan Madson,PHI,Relief Pitcher,78,190
822,Antonio Alfonseca,PHI,Relief Pitcher,77,250
823,Tom Gordon,PHI,Relief Pitcher,70,190
824,Brian Sanches,PHI,Relief Pitcher,72,190
825,Jim Ed Warden,PHI,Relief Pitcher,79,190
826,Anderson Garcia,PHI,Relief Pitcher,74,170
827,Eude Brito,PHI,Relief Pitcher,71,160
828,Fabio Castro,PHI,Relief Pitcher,68,150
829,Matt Smith,PHI,Relief Pitcher,77,225
830,Damian Miller,MLW,Catcher,75,220
831,Johnny Estrada,MLW,Catcher,71,209
832,Mike Rivera,MLW,Catcher,72,210
833,J.D. Closser,MLW,Catcher,70,176
834,Prince Fielder,MLW,First Baseman,72,260
835,Rickie Weeks,MLW,Second Baseman,72,195
836,Tony Graffanino,MLW,Second Baseman,73,190
837,Craig Counsell,MLW,Shortstop,72,184
838,J.J. Hardy,MLW,Shortstop,74,180
839,Bill Hall,MLW,Shortstop,72,195
840,Vinny Rottino,MLW,Third Baseman,72,195
841,Corey Koskie,MLW,Third Baseman,75,219
842,Kevin Mench,MLW,Outfielder,72,225
843,Geoff Jenkins,MLW,Outfielder,73,212
844,Brady Clark,MLW,Outfielder,74,202
845,Tony Gwynn Jr.,MLW,Outfielder,72,185
846,Corey Hart,MLW,Outfielder,78,200
847,Gabe Gross,MLW,Outfielder,75,209
848,Laynce Nix,MLW,Outfielder,72,200
849,Drew Anderson,MLW,Outfielder,74,195
850,Claudio Vargas,MLW,Starting Pitcher,75,228
851,Chris Capuano,MLW,Starting Pitcher,75,210
852,Ben Hendrickson,MLW,Starting Pitcher,76,190
853,Dave Bush,MLW,Starting Pitcher,74,212
854,Carlos Villanueva,MLW,Starting Pitcher,74,190
855,Ben Sheets,MLW,Starting Pitcher,73,218
856,Jeff Suppan,MLW,Starting Pitcher,74,220
857,Brian Shouse,MLW,Relief Pitcher,71,190
858,Francisco Cordero,MLW,Relief Pitcher,74,235
859,Derrick Turnbow,MLW,Relief Pitcher,75,210
860,Matt Wise,MLW,Relief Pitcher,76,200
861,Grant Balfour,MLW,Relief Pitcher,74,188
862,Dennis Sarfate,MLW,Relief Pitcher,76,210
863,Jose Capellan,MLW,Relief Pitcher,76,235
864,Greg Aquino,MLW,Relief Pitcher,73,188
865,Josh Bard,SD,Catcher,75,215
866,Rob Bowen,SD,Catcher,75,216
867,Adrian Gonzalez,SD,First Baseman,74,220
868,Marcus Giles,SD,Second Baseman,68,180
869,Todd Walker,SD,Second Baseman,72,185
870,Geoff Blum,SD,Shortstop,75,200
871,Khalil Greene,SD,Shortstop,71,210
872,Paul McAnulty,SD,Outfielder,70,220
873,Terrmel Sledge,SD,Outfielder,72,185
874,Jack Cust,SD,Outfielder,73,231
875,Jose Cruz Jr.,SD,Outfielder,72,210
876,Russell Branyan,SD,Outfielder,75,195
877,Mike Cameron,SD,Outfielder,74,200
878,Brian Giles,SD,Outfielder,70,205
879,Kevin Kouzmanoff,SD,Designated Hitter,73,200
880,Mike Thompson,SD,Starting Pitcher,76,200
881,Clay Hensley,SD,Starting Pitcher,71,190
882,Chris Young,SD,Starting Pitcher,82,250
883,Greg Maddux,SD,Starting Pitcher,72,185
884,Jake Peavy,SD,Starting Pitcher,73,180
885,Scott Cassidy,SD,Relief Pitcher,74,170
886,Scott Strickland,SD,Relief Pitcher,71,180
887,Scott Linebrink,SD,Relief Pitcher,75,208
888,Doug Brocail,SD,Relief Pitcher,77,235
889,Trevor Hoffman,SD,Relief Pitcher,72,215
890,Heath Bell,SD,Relief Pitcher,74,244
891,Royce Ring,SD,Relief Pitcher,72,220
892,Cla Meredith,SD,Relief Pitcher,73,185
893,Andrew Brown,SD,Relief Pitcher,78,230
894,Mike Adams,SD,Relief Pitcher,77,190
895,Justin Hampson,SD,Relief Pitcher,73,200
896,Kevin Cameron,SD,Relief Pitcher,73,180
897,Ryan Ketchner,SD,Relief Pitcher,73,190
898,Brian Schneider,WAS,Catcher,73,196
899,Jesus Flores,WAS,Catcher,73,180
900,Larry Broadway,WAS,First Baseman,76,230
901,Nick Johnson,WAS,First Baseman,75,224
902,Bernie Castro,WAS,Second Baseman,70,160
903,Josh Wilson,WAS,Shortstop,73,178
904,Cristian Guzman,WAS,Shortstop,72,205
905,Felipe Lopez,WAS,Shortstop,73,185
906,Ryan Zimmerman,WAS,Third Baseman,75,210
907,Nook Logan,WAS,Outfielder,74,180
908,Ryan Church,WAS,Outfielder,73,190
909,Kory Casto,WAS,Outfielder,73,200
910,Mike Restovich,WAS,Outfielder,76,257
911,Alex Escobar,WAS,Outfielder,73,190
912,Austin Kearns,WAS,Outfielder,75,220
913,Chris Snelling,WAS,Outfielder,70,165
914,Billy Traber,WAS,Starting Pitcher,77,205
915,Tim Redding,WAS,Starting Pitcher,72,200
916,John Patterson,WAS,Starting Pitcher,77,208
917,Shawn Hill,WAS,Starting Pitcher,74,185
918,Joel Hanrahan,WAS,Starting Pitcher,75,215
919,Mike O'Connor,WAS,Starting Pitcher,75,170
920,Emiliano Fruto,WAS,Relief Pitcher,75,235
921,Chris Schroder,WAS,Relief Pitcher,75,210
922,Brett Campbell,WAS,Relief Pitcher,72,170
923,Beltran Perez,WAS,Relief Pitcher,74,180
924,Levale Speigner,WAS,Relief Pitcher,71,170
925,Jason Bergmann,WAS,Relief Pitcher,76,190
926,Saul Rivera,WAS,Relief Pitcher,71,150
927,Chris Booker,WAS,Relief Pitcher,75,230
928,Micah Bowie,WAS,Relief Pitcher,76,203
929,Jon Rauch,WAS,Relief Pitcher,83,260
930,Jerome Williams,WAS,Relief Pitcher,75,246
931,Luis Ayala,WAS,Relief Pitcher,74,186
932,Ryan Wagner,WAS,Relief Pitcher,76,210
933,Chad Cordero,WAS,Relief Pitcher,72,198
934,Humberto Cota,PIT,Catcher,72,210
935,Ronny Paulino,PIT,Catcher,75,215
936,Adam LaRoche,PIT,First Baseman,75,180
937,Ryan Doumit,PIT,First Baseman,72,200
938,Brad Eldred,PIT,First Baseman,77,245
939,Jose Castillo,PIT,Second Baseman,73,200
940,Jack Wilson,PIT,Shortstop,72,192
941,Freddy Sanchez,PIT,Third Baseman,70,192
942,Jason Bay,PIT,Outfielder,74,200
943,Jose Bautista,PIT,Outfielder,72,192
944,Xavier Nady,PIT,Outfielder,74,205
945,Jody Gerut,PIT,Outfielder,72,190
946,Nate McLouth,PIT,Outfielder,71,186
947,Chris Duffy,PIT,Outfielder,70,170
948,Rajai Davis,PIT,Outfielder,71,197
949,Shane Youman,PIT,Starting Pitcher,76,219
950,Yoslan Herrera,PIT,Starting Pitcher,74,200
951,Josh Shortslef,PIT,Starting Pitcher,76,220
952,Zach Duke,PIT,Starting Pitcher,74,207
953,Paul Maholm,PIT,Starting Pitcher,74,225
954,Tom Gorzelanny,PIT,Starting Pitcher,74,207
955,Shawn Chacon,PIT,Starting Pitcher,75,212
956,Tony Armas Jr.,PIT,Starting Pitcher,75,225
957,Ian Snell,PIT,Starting Pitcher,71,170
958,Sean Burnett,PIT,Starting Pitcher,71,190
959,John Grabow,PIT,Relief Pitcher,74,210
960,Marty McLeary,PIT,Relief Pitcher,77,230
961,Salomon Torres,PIT,Relief Pitcher,71,210
962,Damaso Marte,PIT,Relief Pitcher,74,200
963,Matt Capps,PIT,Relief Pitcher,75,238
964,Josh Sharpless,PIT,Relief Pitcher,77,234
965,Bryan Bullington,PIT,Relief Pitcher,76,222
966,Jonah Bayliss,PIT,Relief Pitcher,74,200
967,Brian Rogers,PIT,Relief Pitcher,76,190
968,Juan Perez,PIT,Relief Pitcher,72,170
969,Bengie Molina,SF,Catcher,71,220
970,Eliezer Alfonzo,SF,Catcher,72,223
971,Lance Niekro,SF,First Baseman,75,210
972,Mark Sweeney,SF,First Baseman,73,215
973,Ray Durham,SF,Second Baseman,68,196
974,Kevin Frandsen,SF,Second Baseman,72,175
975,Omar Vizquel,SF,Shortstop,69,175
976,Rich Aurilia,SF,Third Baseman,73,189
977,Pedro Feliz,SF,Third Baseman,73,205
978,Todd Linden,SF,Outfielder,75,210
979,Dave Roberts,SF,Outfielder,70,180
980,Jason Ellison,SF,Outfielder,70,180
981,Randy Winn,SF,Outfielder,74,197
982,Ryan Klesko,SF,Outfielder,75,220
983,Barry Bonds,SF,Outfielder,74,228
984,Fred Lewis,SF,Outfielder,74,190
985,Kelyn Acosta,SF,Starting Pitcher,73,204
986,Jonathan Sanchez,SF,Starting Pitcher,74,165
987,Matt Cain,SF,Starting Pitcher,75,216
988,Matt Morris,SF,Starting Pitcher,77,220
989,Russ Ortiz,SF,Starting Pitcher,73,208
990,Noah Lowry,SF,Starting Pitcher,74,210
991,Barry Zito,SF,Starting Pitcher,76,215
992,Vinnie Chulk,SF,Relief Pitcher,74,195
993,Kevin Correia,SF,Relief Pitcher,75,200
994,Steve Kline,SF,Relief Pitcher,73,215
995,Armando Benitez,SF,Relief Pitcher,76,229
996,Scott Munter,SF,Relief Pitcher,78,240
997,Jack Taschner,SF,Relief Pitcher,75,207
998,Brian Wilson,SF,Relief Pitcher,73,205
999,Merkin Valdez,SF,Relief Pitcher,77,208
1000,Brad Hennessey,SF,Relief Pitcher,74,185
1001,Billy Sadler,SF,Relief Pitcher,72,190
1002,Pat Misch,SF,Relief Pitcher,74,170
1003,Gary Bennett,STL,Catcher,72,208
1004,Yadier Molina,STL,Catcher,71,225
1005,John Nelson,STL,First Baseman,73,190
1006,Albert Pujols,STL,First Baseman,75,225
1007,Adam Kennedy,STL,Second Baseman,73,185
1008,Aaron Miles,STL,Second Baseman,67,180
1009,David Eckstein,STL,Shortstop,67,165
1010,Scott Rolen,STL,Third Baseman,76,240
1011,Scott Spiezio,STL,Third Baseman,74,220
1012,Jim Edmonds,STL,Outfielder,73,212
1013,So Taguchi,STL,Outfielder,70,163
1014,Juan Encarnacion,STL,Outfielder,75,215
1015,Skip Schumaker,STL,Outfielder,70,175
1016,John Rodriguez,STL,Outfielder,72,205
1017,Chris Duncan,STL,Outfielder,77,210
1018,Adam Wainwright,STL,Starting Pitcher,79,205
1019,Mark Mulder,STL,Starting Pitcher,78,208
1020,Anthony Reyes,STL,Starting Pitcher,74,215
1021,Ryan Franklin,STL,Starting Pitcher,75,180
1022,Kip Wells,STL,Starting Pitcher,75,200
1023,Chris Carpenter,STL,Starting Pitcher,78,230
1024,Russ Springer,STL,Relief Pitcher,76,211
1025,Jason Isringhausen,STL,Relief Pitcher,75,230
1026,Ricardo Rincon,STL,Relief Pitcher,69,190
1027,Braden Looper,STL,Relief Pitcher,75,220
1028,Randy Flores,STL,Relief Pitcher,72,180
1029,Josh Hancock,STL,Relief Pitcher,75,205
1030,Brad Thompson,STL,Relief Pitcher,73,190
1031,Tyler Johnson,STL,Relief Pitcher,74,180
1032,Chris Narveson,STL,Relief Pitcher,75,205
1033,Randy Keisler,STL,Relief Pitcher,75,190
1034,Josh Kinney,STL,Relief Pitcher,73,195
